date,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEPULAUAN BANGKA BELITUNG,KEPULAUAN RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DAERAH ISTIMEWA YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA
01/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
02/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
04/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
05/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
