date,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEPULAUAN BANGKA BELITUNG,KEPULAUAN RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DAERAH ISTIMEWA YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA,
01/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03/03/2020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05/03/2020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/03/2020,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/03/2020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12/03/2020,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13/03/2020,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14/03/2020,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15/03/2020,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16/03/2020,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17/03/2020,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18/03/2020,0,1,0,1,0,0,0,1,0,0,38,12,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
19/03/2020,0,1,0,1,0,0,0,0,0,2,51,2,4,2,1,10,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,
20/03/2020,0,0,0,-1,0,0,0,0,0,1,13,15,0,-1,6,10,3,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,
21/03/2020,0,0,0,0,0,0,0,0,0,0,44,14,2,1,11,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
22/03/2020,0,0,0,0,0,0,0,0,0,0,39,4,1,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,
23/03/2020,0,0,0,0,1,0,0,0,0,1,49,0,0,0,0,9,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
24/03/2020,0,5,0,1,0,1,0,0,0,0,71,1,4,1,10,9,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,
25/03/2020,0,0,0,0,0,0,0,0,0,0,45,13,19,11,0,2,3,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,
26/03/2020,1,0,3,1,0,0,0,2,0,0,43,5,2,0,8,0,0,0,0,0,2,0,0,0,0,1,14,0,0,0,0,0,0,4,
27/03/2020,3,0,2,0,0,0,0,1,0,0,51,20,3,6,7,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,
28/03/2020,0,0,0,0,0,1,0,0,0,0,37,21,12,0,11,10,0,0,0,0,1,0,6,2,0,1,4,0,0,0,0,0,0,0,
29/03/2020,0,0,0,1,0,0,0,0,0,0,98,30,8,0,13,3,1,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,2,
30/03/2020,0,5,3,1,1,0,0,4,1,1,26,25,17,1,1,22,9,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,
31/03/2020,0,6,0,0,0,3,1,0,1,1,14,16,13,5,2,14,0,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,1,
01/04/2020,0,2,0,0,0,0,0,0,0,0,75,21,11,5,11,11,6,2,0,1,0,0,1,0,1,0,15,0,0,0,0,0,0,0,
02/04/2020,0,0,0,4,0,6,0,0,0,0,93,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03/04/2020,0,0,0,3,0,1,1,4,0,1,81,2,10,0,52,6,2,1,0,0,3,0,1,6,0,2,16,3,0,0,0,0,0,6,
04/04/2020,0,3,0,0,0,0,0,0,0,0,81,24,7,5,0,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,
05/04/2020,0,0,0,1,0,4,0,0,0,1,80,5,0,1,36,4,3,0,0,0,0,8,6,0,0,0,3,0,0,0,0,0,0,8,
06/04/2020,0,1,10,1,0,0,0,1,0,0,148,11,12,6,1,10,7,3,0,2,9,2,1,7,2,0,30,1,0,0,0,0,0,0,
07/04/2020,0,0,0,0,0,0,0,0,0,0,144,80,1,1,5,7,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,
08/04/2020,1,33,0,0,0,0,0,3,0,0,109,22,7,0,2,18,6,0,0,0,0,4,1,1,0,0,0,4,0,0,2,1,0,12,
09/04/2020,0,0,0,0,0,1,2,0,1,13,167,11,4,0,27,6,14,6,1,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,
10/04/2020,0,0,13,0,0,4,0,5,0,0,91,12,0,0,33,25,12,9,0,0,4,7,3,0,5,9,29,0,1,1,0,0,0,0,
11/04/2020,0,0,0,3,2,0,0,0,1,0,93,32,0,0,11,36,4,2,0,0,0,0,0,0,0,5,11,1,0,2,0,0,0,24,
12/04/2020,0,6,13,0,0,0,0,0,0,0,179,29,56,0,119,2,2,10,0,3,0,5,0,0,4,0,44,0,0,0,8,0,1,1,
13/04/2020,0,2,1,4,0,0,0,1,0,0,160,60,3,16,54,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,
14/04/2020,0,5,3,0,1,1,0,0,0,5,107,0,75,5,35,4,6,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,
15/04/2020,0,6,7,0,1,3,0,0,1,6,98,29,13,1,24,0,6,0,0,0,8,12,0,4,1,3,11,8,0,2,3,2,0,7,
16/04/2020,0,1,0,4,1,15,0,5,1,6,223,11,8,0,15,16,15,8,0,8,1,10,9,8,0,0,29,2,3,0,0,0,3,5,
17/04/2020,0,0,7,1,1,17,0,0,0,19,153,58,5,1,8,11,11,6,0,0,1,15,0,19,0,2,62,0,0,0,0,0,0,9,
18/04/2020,1,0,9,4,0,30,0,0,0,21,79,9,25,3,33,10,7,4,0,0,6,18,10,3,2,0,11,1,0,0,3,0,0,6,
19/04/2020,1,2,1,0,0,5,0,0,1,0,131,55,20,0,35,3,4,6,0,0,5,4,5,19,0,3,27,9,0,0,0,0,2,12,
20/04/2020,0,2,2,4,0,0,0,0,0,0,79,25,3,2,0,29,5,11,0,0,14,0,4,5,0,0,0,0,0,0,0,0,0,0,
21/04/2020,0,1,2,1,5,0,4,1,1,2,167,9,98,3,13,0,10,21,0,6,7,2,5,3,0,0,4,0,3,0,0,0,0,11,
22/04/2020,0,9,5,8,0,0,0,0,0,0,120,6,30,3,35,0,2,15,0,4,15,9,1,0,0,2,13,0,0,0,1,0,5,1,
23/04/2020,0,2,5,1,1,4,0,11,1,2,107,22,59,1,26,0,15,7,0,19,1,7,5,0,11,0,10,0,0,0,0,2,5,7,
24/04/2020,1,1,10,0,4,13,0,0,0,0,99,75,37,1,26,22,10,38,0,0,11,18,11,0,5,3,23,4,5,25,0,0,2,6,
25/04/2020,1,9,1,2,3,13,0,0,0,0,76,45,46,2,80,11,6,27,0,1,6,14,12,6,0,4,12,0,2,2,5,0,1,0,
26/04/2020,0,6,5,1,11,10,0,4,1,2,65,5,28,3,15,0,3,15,0,0,4,0,8,6,4,0,8,4,1,0,0,12,0,5,
27/04/2020,0,0,19,0,0,0,0,0,0,1,86,39,17,1,11,12,8,11,0,0,8,4,2,1,0,0,0,0,0,0,0,0,0,10,
28/04/2020,0,0,23,1,0,14,0,2,0,3,118,19,16,10,61,6,21,15,0,0,9,0,8,2,3,6,13,0,1,2,0,0,21,26,
29/04/2020,0,3,1,1,0,1,4,2,0,0,83,40,29,1,15,0,0,9,0,7,6,7,4,0,1,5,12,8,0,1,1,0,0,12,
30/04/2020,1,3,3,0,0,6,0,0,0,0,105,3,13,1,86,16,7,0,2,0,18,13,15,8,1,0,26,9,0,4,0,14,0,16,
01/05/2020,1,0,24,1,0,6,0,4,9,0,145,0,22,9,76,14,13,3,0,3,11,9,2,15,0,1,56,0,0,1,0,1,5,5,
02/05/2020,0,0,10,3,0,0,0,0,0,0,72,31,19,10,3,9,2,17,0,7,1,0,18,7,0,11,30,2,0,1,0,0,1,30,
03/05/2020,1,6,13,8,6,29,0,0,1,3,62,10,9,1,80,5,25,19,7,2,0,16,8,0,0,0,24,0,0,0,0,9,0,0,
04/05/2020,0,6,8,5,0,0,0,4,0,0,55,193,22,0,7,14,9,0,0,3,23,3,5,8,0,0,6,0,0,0,0,0,0,0,
05/05/2020,0,1,18,3,5,14,0,1,8,5,169,48,51,6,47,12,6,16,2,0,1,14,1,1,0,11,33,5,0,14,0,0,6,7,
06/05/2020,5,11,17,0,4,11,2,8,0,1,68,20,42,1,50,29,0,4,0,17,5,13,14,0,0,0,25,0,0,0,0,0,4,1,
07/05/2020,0,1,14,5,0,17,0,0,0,0,66,61,13,15,46,8,10,11,0,5,2,13,0,0,0,5,19,0,4,0,0,0,0,4,
08/05/2020,0,15,18,3,0,0,0,3,0,2,126,23,28,6,17,10,13,12,0,0,0,8,27,0,2,0,24,1,0,2,9,0,0,13,
09/05/2020,0,22,16,2,15,51,23,0,0,1,57,33,26,3,135,18,6,18,0,23,1,7,5,0,6,0,2,1,0,2,0,4,0,12,
